iter	RMSE
0	39651606.34
1	36660951.45
2	34030579.97
3	31603135.77
4	29442474.51
5	27586648.88
6	25871574.4
7	24390623.1
8	23053669.23
9	21897474.23
10	20850121.09
11	19935843.93
12	19108648.51
13	18381532.08
14	17740402.95
15	17170041.83
16	16668091.26
17	16169492.34
18	15774600.51
19	15372122.89
20	15037700.67
21	14743118.5
22	14435326.17
23	14196447.84
24	13958005.41
25	13776365.71
26	13606723.09
27	13449745.62
28	13311515.95
29	13184631.8
30	13049444.71
31	12927818.95
32	12835075.27
33	12716198.39
34	12627010.25
35	12545479.47
36	12459099.18
37	12390325.82
38	12316306.28
39	12238966.78
40	12182390.26
41	12126610.98
42	12073989.33
43	12025654.24
44	11985013.69
45	11929417.39
46	11874648.09
47	11828646
48	11785317.39
49	11744580.49
50	11717612.41
51	11679869.54
52	11632737.16
53	11590941.23
54	11555783.76
55	11522866.85
56	11502376.53
57	11468423.06
58	11440726.52
59	11421871.71
60	11389901.87
61	11360496.56
62	11332086.08
63	11308483.89
64	11290699.74
65	11260416.77
66	11234226.3
67	11211092.07
68	11175005.19
69	11155742.99
70	11136971.36
71	11118792.07
72	11101464.97
73	11076752.54
74	11054346.07
75	11026931.75
76	11015107.37
77	10989858.15
78	10960380.47
79	10930738.56
80	10917695.66
81	10885328.78
82	10872130.9
83	10851800.66
84	10835943.74
85	10813833.92
86	10798567.55
87	10782672.74
88	10757133.38
89	10737999.09
90	10717422.41
91	10695131.01
92	10681600.85
93	10666183.83
94	10638504.67
95	10620452.33
96	10600801.65
97	10578432.75
98	10555687.23
99	10541730.23
