iter	Passed	Remaining
0	23	2351
1	45	2223
2	67	2176
3	93	2247
4	114	2172
5	134	2100
6	152	2032
7	173	1992
8	192	1950
9	211	1900
10	233	1886
11	256	1879
12	273	1832
13	290	1785
14	308	1746
15	323	1698
16	338	1653
17	356	1622
18	373	1594
19	393	1572
20	411	1546
21	430	1527
22	452	1514
23	469	1487
24	485	1456
25	501	1427
26	517	1399
27	533	1372
28	550	1347
29	565	1319
30	578	1286
31	591	1257
32	605	1230
33	619	1203
34	633	1176
35	646	1148
36	666	1134
37	681	1111
38	697	1091
39	712	1068
40	727	1046
41	741	1024
42	757	1003
43	770	980
44	784	958
45	798	936
46	812	916
47	827	896
48	841	875
49	855	855
50	872	838
51	887	819
52	904	802
53	922	786
54	938	767
55	954	750
56	971	732
57	986	714
58	1002	696
59	1018	679
60	1034	661
61	1051	644
62	1067	626
63	1083	609
64	1101	592
65	1116	575
66	1134	558
67	1150	541
68	1168	525
69	1184	507
70	1200	490
71	1216	473
72	1231	455
73	1247	438
74	1262	420
75	1279	404
76	1295	386
77	1309	369
78	1325	352
79	1341	335
80	1357	318
81	1375	301
82	1390	284
83	1406	267
84	1421	250
85	1440	234
86	1461	218
87	1479	201
88	1498	185
89	1515	168
90	1531	151
91	1548	134
92	1562	117
93	1579	100
94	1596	84
95	1612	67
96	1628	50
97	1645	33
98	1661	16
99	1675	0
